bus0,bus1,length
UA.10_1,UA.22_1,256.2893546626892
UA.10_1,UA.24_1,74.19714290954414
UA.10_1,UA.27_1,149.94729646854566
UA.11_1,UA.12_1,35.73210806004873
UA.12_1,UA.11_1,168.55850575101252
UA.12_1,UA.1_1,247.18569324973913
UA.12_1,UA.24_1,96.98656814240653
UA.12_1,UA.27_1,18.359380643679945
UA.13_1,UA.16_1,166.72880216643185
UA.13_1,UA.18_1,263.0686328420842
UA.13_1,UA.5_1,96.33983067565235
UA.14_1,UA.14_1,6.856814543507614
UA.14_1,UA.22_1,52.050743913056685
UA.14_1,UA.23_1,47.004721205227554
UA.14_1,UA.7_1,61.841407857335085
UA.15_1,UA.15_1,141.0997443060631
UA.15_1,UA.6_1,104.90489705567201
UA.15_1,UA.8_1,51.33287896476119
UA.16_1,UA.13_1,68.64229558435477
UA.16_1,UA.17_1,85.67864194315192
UA.16_1,UA.5_1,17.036346358797147
UA.17_1,UA.16_1,49.8348437216746
UA.17_1,UA.17_1,193.54996072556338
UA.17_1,UA.24_1,34.53822198745128
UA.18_1,UA.13_1,184.2420995933532
UA.18_1,UA.1_1,471.6884965230636
UA.18_1,UA.21_1,194.23369846645303
UA.18_1,UA.8_1,380.1746330691908
UA.19_1,UA.22_1,15.884369066078255
UA.19_1,UA.27_1,15.884369066078255
UA.1_1,UA.12_1,123.08789679016138
UA.1_1,UA.18_1,123.08789679016138
UA.21_1,UA.18_1,166.52647082832567
UA.22_1,UA.10_1,233.72246123898123
UA.22_1,UA.14_1,34.22579902298264
UA.22_1,UA.19_1,19.517911590449447
UA.22_1,UA.7_1,99.35431633824406
UA.23_1,UA.14_1,84.38340132264238
UA.23_1,UA.23_1,41.159212447763444
UA.24_1,UA.10_1,144.24365006154792
UA.24_1,UA.12_1,144.24365006154792
UA.24_1,UA.17_1,50.723799460420814
UA.24_1,UA.3_1,50.723799460420814
UA.27_1,UA.10_1,159.9392145831272
UA.27_1,UA.12_1,57.40738894825842
UA.27_1,UA.19_1,15.624212557568162
UA.5_1,UA.13_1,27.068244535169978
UA.5_1,UA.16_1,26.122460658509347
UA.5_1,UA.8_1,26.122460658509347
UA.6_1,UA.15_1,35.98501546619605
UA.6_1,UA.8_1,27.567526061819
UA.7_1,UA.14_1,241.73785999519396
UA.7_1,UA.22_1,144.44086222320823
UA.7_1,UA.7_1,189.30798444574773
UA.8_1,UA.15_1,54.66712103523881
UA.8_1,UA.18_1,137.17259990695328
UA.8_1,UA.5_1,8.807314351294586
UA.8_1,UA.6_1,34.43247393818099
