country,number cars,average fuel efficiency
AF,655357,
AL,563106,0.4004854368932038
AE,3391125,0.7896026905318361
AR,21633587,0.758328569201185
AG,36030,
AU,18326236,0.7525549788645728
AT,7421647,0.633761105626851
AZ,1330551,0.7551152971744073
BI,111236,
BE,7330718,0.71371336996337
BJ,469761,0.32404181184668984
BF,2106292,
BD,2879708,0.8580375782881002
BG,4031748,0.8048896273439354
BA,978229,0.862627197039778
BY,4192291,0.7948807243600905
BZ,56094,
BO,1711005,0.592896174863388
BR,93867016,0.5524767866896348
BB,117104,
BT,86981,
BW,653274,0.6787790697674418
CF,37475,
CA,23923806,0.6820656092285508
CH,5980512,0.5516693163751988
CL,4960945,0.6892230576441102
CN,294694457,0.914013047267733
CI,905537,0.6887700534759358
CM,758145,0.4619205298013245
CO,13477996,0.588
KM,34898,
CV,64955,
CR,1991398,0.31380753138075307
CU,633369,0.9572156196943973
CY,650805,0.6961805555555556
CZ,7325789,0.8297255308130502
DE,56622000,0.786345348210212
DM,35796,
DK,3131673,0.6708200521587946
DO,3854038,0.736760124610592
EC,1925368,0.5832687838884585
EG,8412673,0.7745137646447741
ER,72405,0.6964285714285714
ES,32986384,0.6469244363981207
EE,865040,0.8732876712328768
ET,708416,0.5312157721796276
FI,5217850,0.7613259668508288
FJ,110763,
FR,42363000,0.5758541024922991
FM,5673,
GB,38388214,0.71547665751275
GE,1126470,0.577720207253886
GH,2066943,0.4462242562929062
GN,259731,
GM,84963,
GW,62239,
GQ,143000,
GR,9489299,0.7519732847601699
GD,27266,
GT,3250194,0.6003717472118959
GY,15694,
HN,1694504,0.6045714285714286
HR,1996056,0.6340819022457067
HU,4022798,0.7284011916583912
ID,128398594,0.6919341167846426
IN,210023289,0.8852139210861181
IE,2573961,0.6786769049025397
IR,30377065,0.7507058210001978
IQ,5775777,0.7941572715025171
IS,289501,0.5980392156862745
IL,3239305,0.7390632246096769
IT,52581575,0.6704513465327954
JM,541316,0.7573221757322176
JO,1502420,0.7080049771878889
JP,81602046,0.8246300362602323
KZ,4383120,0.9389333452545934
KE,2979910,0.47125506072874485
KG,993000,0.7224880382775121
KH,3751715,0.3639344262295082
KI,3706,
KR,25680967,0.8372166745918528
KW,2001940,0.8473513011152416
LA,1850020,
LB,1866407,0.7559231113097898
LR,1085075,
LY,3553497,0.6068893528183716
LC,35681,
LK,6795469,0.5227001194743129
LT,1391568,0.5383123181377304
LU,466472,0.33189189189189194
LV,803628,0.5714285714285715
MA,3791469,0.7115420824703446
MD,894253,0.7531034482758621
MG,236979,
MV,92983,
MX,40205671,0.6490763946904298
MK,442962,0.7846567967698519
ML,344345,
MT,358947,0.7692307692307692
MM,6381136,0.6339468302658486
ME,211219,0.7657657657657657
MN,841537,0.8887665198237886
MZ,698864,0.4315245478036175
MU,507676,0.7449494949494949
MY,27613120,0.7028840921458371
NA,371281,0.4456824512534818
NE,436420,0.40816326530612246
NG,11733425,0.6461103723404256
NL,10757655,0.8014695968720507
NO,3969612,0.6023789294817332
NP,2339169,0.5598650927487353
NZ,3656300,0.5505761843790014
OM,1370913,0.7921535893155258
PK,18352500,0.7106890780761114
PA,1288573,0.635505193578848
PE,5604789,0.5969868173258004
PH,9251565,0.7216591787691986
PG,100993,
PL,27409106,0.8433199541284404
PT,6590094,0.6330296659658958
PY,1871947,0.06936416184971109
PS,268365,
QA,1330487,0.8175492848859683
RO,7014661,0.7755281690140845
RU,54014259,0.8375523832237403
RW,180137,
SA,6895799,0.7408160445330543
SD,1252740,0.40779610194902544
SN,468051,0.6114649681528662
SG,933534,0.8481906443071492
SV,1008080,0.5187074829931972
SM,54956,
SO,59457,
RS,2282401,0.8451849908160588
SS,69647,0.34868421052631576
ST,34050,
SR,228388,0.6633165829145728
SK,2606412,0.7933856120013638
SI,1468439,0.5846394984326019
SE,6102914,0.46712987707108494
SZ,99830,
SC,23076,
SY,2396544,0.760246644903881
TD,1124000,
TG,64118,0.2267441860465115
TH,37338139,0.7528334428383707
TJ,439972,0.6652360515021459
TL,146596,
TO,8154,
TT,831803,0.8621283929340801
TN,2015601,0.7469012395041983
TR,21090424,0.8016671550910098
TZ,2163623,0.4243008678881388
UG,1594962,
UA,14433709,0.885896677094783
UY,2342026,0.4465709728867623
US,281312446,0.6660201189673526
VE,7999760,0.6766242983418286
VN,50666855,0.7771962877677762
WS,25235,
ZW,1198584,0.7771975630983463
