TWh/a (MtCO2/a),electricity,coal,coke,solid biomass,methane,hydrogen,low-temperature heat,naphtha,process emission,process emission from feedstock,current electricity
MA.10_1,334214.10,0.00,0.00,74050.13,74093.15,35212.19,8704.23,199863.81,10528.67,6996.81,3447.50
MA.11_1,3282884.58,0.00,0.00,727371.21,727792.15,345878.77,85499.07,1963202.25,103417.28,68727.54,33863.78
MA.12_1,31324581.52,0.00,0.00,6940419.90,6944435.68,3300301.20,815813.83,18732455.48,986784.28,655783.50,323120.91
MA.13_1,193042.09,0.00,0.00,42771.41,42796.36,20338.56,5027.57,115441.34,6081.53,4041.36,1991.28
MA.14_1,1456037.11,0.00,0.00,322606.59,322793.67,153405.43,37920.87,870726.68,45868.66,30482.29,15019.39
MA.15_1,1118146.60,0.00,0.00,247741.75,247885.09,117805.90,29120.88,668664.36,35223.74,23408.52,11533.96
MA.1_1,1111462.45,0.00,0.00,246261.18,246404.35,117101.66,28946.80,664667.09,35014.35,23268.58,11465.02
MA.2_1,3230212.44,0.00,0.00,715700.94,716115.15,340329.33,84127.28,1931703.71,101758.04,67624.85,33320.45
MA.3_1,242672.88,0.00,0.00,53767.87,53799.21,25567.57,6320.15,145121.11,7645.05,5080.38,2503.23
MA.4_1,995022.13,0.00,0.00,220461.72,220589.28,104833.73,25914.24,595034.54,31345.09,20830.90,10263.90
MA.5_1,289884785.91,0.00,0.00,64228219.55,64265380.28,30541736.33,7549726.32,173354394.26,9131922.07,6068769.31,2990234.27
MA.6_1,684303.31,0.00,0.00,151617.42,151705.14,72096.96,17821.92,409221.15,21556.85,14325.96,7058.76
MA.7_1,334214.07,0.00,0.00,74050.02,74092.86,35212.19,8704.23,199863.81,10528.38,6996.81,3447.50
MA.8_1,6684.32,0.00,0.00,1481.12,1482.16,704.24,174.09,3997.28,210.88,139.94,68.95
MA.9_1,119515.00,0.00,0.00,26480.43,26495.98,12591.88,3112.64,71471.30,3765.33,2502.06,1232.83
