TWh/a,biomass,electricity,gas,heat,liquid,other,solid,waste
MA.10_1,1111.290018263197,3447.5028253654964,4152.356217678728,451.8960829358434,2177.056134560833,1.1988620352325474,946.4837939298939,82.50269185629158
MA.11_1,10915.860735390781,33863.778025889,40787.342435207065,4438.83879718317,21384.533393386177,11.776062065245673,9297.004387873778,810.3819644181076
MA.12_1,104156.80212586574,323120.91480785125,389184.084265622,42354.448893826375,204046.62204824432,112.36466251817319,88710.01501374862,7732.483312200614
MA.13_1,641.8815847395791,1991.2781173238354,2398.4013763213015,261.0152296324477,1257.469807822994,0.6924627144853177,546.6903765455781,47.6546030775953
MA.14_1,4841.444529272416,15019.389194118363,18090.153684025758,1968.7303014896006,9484.555488140943,5.22296233292957,4123.446847954746,359.4277398459299
MA.15_1,3717.9290806079994,11533.962557376,13892.120426976006,1511.8632241439996,7283.545974144001,4.010912807567958,3166.548205296,276.0147534288
MA.1_1,3695.706637308527,11465.01596647342,13809.076336964557,1502.825674673567,7240.0204483404805,3.9869355878185946,3147.6280765495226,274.3721839635836
MA.2_1,10740.721650107063,33320.45180937044,40132.93129559298,4367.619999080037,21041.430376105087,11.587121409876247,9147.839172141403,797.3800342130168
MA.3_1,806.908206910837,2503.2323431105297,3015.026323870461,328.12180398615334,1580.7628968219474,0.870493727057293,687.2433748201668,59.90637423163457
MA.4_1,3308.530146696,10263.902835312001,12362.392675512001,1345.3847414279999,6481.519928927998,3.5692520357159623,2817.864453852,245.62145023560007
MA.5_1,963890.6743061078,2990234.265377991,3601597.8295272114,391957.6810143641,1888293.6995359405,1039.8480873932372,820942.5817182397,71558.13232886608
MA.6_1,2275.36459605,7058.760263099999,8501.947804349998,925.257039525,4457.5144614,2.454670006424974,1937.9206869749999,168.92043509249999
MA.7_1,1111.28918,3447.5019600000005,4152.355460000001,451.89599,2177.05224,1.1988620299999877,946.4814100000001,82.50082300000001
MA.8_1,22.22668327612074,68.95096796399108,83.04792238786332,9.038019544518663,43.5452246845451,0.023977246215907733,18.932186781608248,1.6520222326313845
MA.9_1,397.3981142618451,1232.8278400674467,1484.8833099080477,161.5981283652069,778.519007843266,0.42871306881616306,338.46489043317825,29.504754476524493
